1900,Discus Throw Men,Rezsö Bauer,GOLD,HUN,36.04
1900,Discus Throw Men,Frantisek Janda-Suk,SILVER,BOH,35.25
1900,Discus Throw Men,Richard Sheldon,BRONZE,USA,34.6
1904,Discus Throw Men,Martin Sheridan,GOLD,USA,39.28
1904,Discus Throw Men,Ralph Rose,SILVER,USA,39.28
1904,Discus Throw Men,Nicolaos Georgantas,BRONZE,GRE,37.68
1908,Discus Throw Men,Martin Sheridan,GOLD,USA,40.89
1908,Discus Throw Men,Merritt Giffin,SILVER,USA,40.7
1908,Discus Throw Men,Bill Horr,BRONZE,USA,39.445
1912,Discus Throw Men,Armas Taipale,GOLD,FIN,45.21
1912,Discus Throw Men,Leslie Byrd,SILVER,USA,42.32
1912,Discus Throw Men,James Duncan,BRONZE,USA,42.28
1920,Discus Throw Men,Elmer Niklander,GOLD,FIN,44.685
1920,Discus Throw Men,Armas Taipale,SILVER,FIN,44.19
1920,Discus Throw Men,August Pope,BRONZE,USA,42.13
1924,Discus Throw Men,Bud Houser,GOLD,USA,46.155
1924,Discus Throw Men,Vilho Niittymaa,SILVER,FIN,44.95
1924,Discus Throw Men,Thomas Lieb,BRONZE,USA,44.83
1928,Discus Throw Men,Bud Houser,GOLD,USA,47.32
1928,Discus Throw Men,Antero Kivi,SILVER,FIN,47.23
1928,Discus Throw Men,James Corson,BRONZE,USA,47.1
1932,Discus Throw Men,John Anderson,GOLD,USA,49.49
1932,Discus Throw Men,Henry LaBorde,SILVER,USA,48.47
1932,Discus Throw Men,Paul Winter,BRONZE,FRA,47.85
1936,Discus Throw Men,Ken Carpenter,GOLD,USA,50.48
1936,Discus Throw Men,Gordon Dunn,SILVER,USA,49.36
1936,Discus Throw Men,Giorgio Oberweger,BRONZE,KIT,49.23
1948,Discus Throw Men,Adolfo Consolini,GOLD,ITA,52.78
1948,Discus Throw Men,Giuseppe Tosi,SILVER,ITA,51.78
1948,Discus Throw Men,Fortune Gordien,BRONZE,USA,50.77
1952,Discus Throw Men,Sim Iness,GOLD,USA,55.03
1952,Discus Throw Men,Adolfo Consolini,SILVER,ITA,53.78
1952,Discus Throw Men,James Dillion,BRONZE,USA,53.28
1956,Discus Throw Men,Al Oerter,GOLD,USA,56.36
1956,Discus Throw Men,Fortune Gordien,SILVER,USA,54.81
1956,Discus Throw Men,Des Koch,BRONZE,USA,54.4
1960,Discus Throw Men,Al Oerter,GOLD,USA,59.18
1960,Discus Throw Men,Rink Babka,SILVER,USA,58.02
1960,Discus Throw Men,Richard Cochran,BRONZE,USA,57.16
1964,Discus Throw Men,Al Oerter,GOLD,USA,61
1964,Discus Throw Men,Ludvík Danek,SILVER,CZE,60.52
1964,Discus Throw Men,David Weill,BRONZE,USA,59.49
1968,Discus Throw Men,Al Oerter,GOLD,USA,64.78
1968,Discus Throw Men,Lothar Milde,SILVER,GDR,63.08
1968,Discus Throw Men,Ludvík Danek,BRONZE,CZE,62.92
1972,Discus Throw Men,Ludvík Danek,GOLD,CZE,64.4
1972,Discus Throw Men,Jay Silvester,SILVER,USA,63.5
1972,Discus Throw Men,Rickard Bruch,BRONZE,SWE,63.4
1976,Discus Throw Men,Mac Wilkins,GOLD,USA,67.5
1976,Discus Throw Men,Wolfgang Schmidt,SILVER,GDR,66.22
1976,Discus Throw Men,John Powell,BRONZE,USA,65.7
1980,Discus Throw Men,Viktor Rashchupkin,GOLD,URS,66.64
1980,Discus Throw Men,Imrich Bugár,SILVER,CZE,66.38
1980,Discus Throw Men,Luis Delis,BRONZE,CUB,66.32
1984,Discus Throw Men,Rolf Danneberg,GOLD,FRG,66.6
1984,Discus Throw Men,Mac Wilkins,SILVER,USA,66.3
1984,Discus Throw Men,John Powell,BRONZE,USA,65.46
1988,Discus Throw Men,Jürgen Schult,GOLD,GDR,68.82
1988,Discus Throw Men,Romas Ubartas,SILVER,URS,67.48
1988,Discus Throw Men,Rolf Danneberg,BRONZE,FRG,67.38
1992,Discus Throw Men,Romas Ubartas,GOLD,LTU,65.12
1992,Discus Throw Men,Jürgen Schult,SILVER,GER,64.94
1992,Discus Throw Men,Roberto Moya,BRONZE,CUB,64.12
1996,Discus Throw Men,Lars Riedel,GOLD,GER,69.4
1996,Discus Throw Men,Vladimir Dubrovshchik,SILVER,BLR,66.6
1996,Discus Throw Men,Vasiliy Kaptyukh,BRONZE,BLR,65.8
2000,Discus Throw Men,Virgilijus Alekna,GOLD,LTU,69.3
2000,Discus Throw Men,Lars Riedel,SILVER,GER,68.5
2000,Discus Throw Men,Frantz Kruger,BRONZE,RSA,68.19
2004,Discus Throw Men,Virgilijus Alekna,GOLD,LTU,69.89
2004,Discus Throw Men,Zoltan Kovago,SILVER,HUN,67.04
2004,Discus Throw Men,Aleksander Tammert,BRONZE,EST,66.66
2008,Discus Throw Men,Gerd Kanter,GOLD,EST,68.82
2008,Discus Throw Men,Piotr Malachowski,SILVER,POL,67.82
2008,Discus Throw Men,Virgilijus Alekna,BRONZE,LTU,67.79