1904,50m Freestyle Men ,Zoltán von Halmay ,GOLD ,HUN ,28.2
1904,50m Freestyle Men ,Scott Leary ,SILVER ,USA ,28.2
1904,50m Freestyle Men ,Charles Daniels ,BRONZE ,USA ,0
1988,50m Freestyle Men ,Matt Biondi ,GOLD ,USA ,22.14
1988,50m Freestyle Men ,Thomas Jager ,SILVER ,USA ,22.36
1988,50m Freestyle Men ,Gennady Prigoda ,BRONZE ,URS ,22.71
1992,50m Freestyle Men ,Aleksandr Popov ,GOLD ,URS ,21.91
1992,50m Freestyle Men ,Matt Biondi ,SILVER ,USA ,22.09
1992,50m Freestyle Men ,Thomas Jager ,BRONZE ,USA ,22.3
1996,50m Freestyle Men ,Aleksandr Popov ,GOLD ,RUS ,22.13
1996,50m Freestyle Men ,Gary Hall Jr. ,SILVER ,USA ,22.26
1996,50m Freestyle Men ,Fernando Scherer ,BRONZE ,BRA ,22.29
2000,50m Freestyle Men ,Gary Hall Jr. ,GOLD ,USA ,21.98
2000,50m Freestyle Men ,Anthony Ervin ,SILVER ,USA ,21.98
2000,50m Freestyle Men ,Pieter van den Hoogenband ,BRONZE ,NED ,22.03
2004,50m Freestyle Men ,Gary Hall Jr. ,GOLD ,USA ,21.93
2004,50m Freestyle Men ,Duje Draganja ,SILVER ,CRO ,21.94
2004,50m Freestyle Men ,Roland Schoeman ,BRONZE ,RSA ,22.02
2008,50m Freestyle Men ,Cesar CieloFilho ,GOLD ,BRA ,21.3
2008,50m Freestyle Men ,Amaury Leveaux ,SILVER ,FRA ,21.45
2008,50m Freestyle Men ,Alain Bernard ,BRONZE ,FRA ,21.49